song,genre,genreLabel,performer,performerLabel,publication_date,language_of_work_or_name,language_of_work_or_nameLabel,songLabel
http://www.wikidata.org/entity/Q163226,http://www.wikidata.org/entity/Q11366,alternative rock,http://www.wikidata.org/entity/Q483718,Foo Fighters,1997-08-18T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Everlong
http://www.wikidata.org/entity/Q163412,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q42493,Katy Perry,2010-10-26T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Firework
http://www.wikidata.org/entity/Q163412,http://www.wikidata.org/entity/Q1298934,synth-pop,http://www.wikidata.org/entity/Q42493,Katy Perry,2010-10-26T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Firework
http://www.wikidata.org/entity/Q164100,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q33605,Kesha,2009-08-07T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Tik Tok
http://www.wikidata.org/entity/Q164100,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q33605,Kesha,2009-08-07T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Tik Tok
http://www.wikidata.org/entity/Q164100,http://www.wikidata.org/entity/Q216961,Eurodance,http://www.wikidata.org/entity/Q33605,Kesha,2009-08-07T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Tik Tok
http://www.wikidata.org/entity/Q179715,http://www.wikidata.org/entity/Q316930,dance music,http://www.wikidata.org/entity/Q11975,Britney Spears,2011-06-21T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,I Wanna Go
http://www.wikidata.org/entity/Q179715,http://www.wikidata.org/entity/Q606393,Hi-NRG,http://www.wikidata.org/entity/Q11975,Britney Spears,2011-06-21T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,I Wanna Go
http://www.wikidata.org/entity/Q184920,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q11975,Britney Spears,2011-03-04T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Till the World Ends
http://www.wikidata.org/entity/Q184920,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q33605,Kesha,2011-03-04T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Till the World Ends
http://www.wikidata.org/entity/Q184920,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q162202,Nicki Minaj,2011-03-04T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Till the World Ends
http://www.wikidata.org/entity/Q184920,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q11975,Britney Spears,2011-03-04T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Till the World Ends
http://www.wikidata.org/entity/Q184920,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q33605,Kesha,2011-03-04T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Till the World Ends
http://www.wikidata.org/entity/Q184920,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q162202,Nicki Minaj,2011-03-04T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Till the World Ends
http://www.wikidata.org/entity/Q188766,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2011-04-19T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Judas
http://www.wikidata.org/entity/Q188766,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2011-04-19T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Judas
http://www.wikidata.org/entity/Q188770,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2010-02-15T00:00:00Z,http://www.wikidata.org/entity/Q7976,American English,Telephone
http://www.wikidata.org/entity/Q188770,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q36153,Beyoncé,2010-02-15T00:00:00Z,http://www.wikidata.org/entity/Q7976,American English,Telephone
http://www.wikidata.org/entity/Q188770,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2010-02-15T00:00:00Z,http://www.wikidata.org/entity/Q7976,American English,Telephone
http://www.wikidata.org/entity/Q188770,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q36153,Beyoncé,2010-02-15T00:00:00Z,http://www.wikidata.org/entity/Q7976,American English,Telephone
http://www.wikidata.org/entity/Q189007,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q19848,Lady Gaga,2008-04-08T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,Just Dance
