country,population,gdp,countryLabel,continent,continentLabel,lon,lat,coordinate_location,image
http://www.wikidata.org/entity/Q1006,12717176,16091817842,Guinea,http://www.wikidata.org/entity/Q15,Africa,-11,10,"-11,10",http://commons.wikimedia.org/wiki/Special:FilePath/Entre%20principal%20du%20palais%20du%20peuple%20conakry.jpg
http://www.wikidata.org/entity/Q31,11584008,599880000000,Belgium,http://www.wikidata.org/entity/Q46,Europe,4.668055555,50.64111111,"4.668055555,50.641111111",http://commons.wikimedia.org/wiki/Special:FilePath/Belgique%20-%20Bruxelles%20-%20Grand-Place%20-%20C%C3%B4t%C3%A9%20nord-est.jpg
http://www.wikidata.org/entity/Q948,11565204,46664948952,Tunisia,http://www.wikidata.org/entity/Q15,Africa,10,34,"10,34",http://commons.wikimedia.org/wiki/Special:FilePath/Carthage%20Palace%20from%20Sidi%20Bou%20Said.jpg
http://www.wikidata.org/entity/Q967,11530580,2775798697,Burundi,http://www.wikidata.org/entity/Q15,Africa,29.816667,-3.666667,"29.816667,-3.666667",http://commons.wikimedia.org/wiki/Special:FilePath/BujumburaFromCathedral.jpg
http://www.wikidata.org/entity/Q962,11175692,17401746309,Benin,http://www.wikidata.org/entity/Q15,Africa,2.183333333,8.833333333,"2.183333333,8.833333333",http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A8m%C3%A8.png
http://www.wikidata.org/entity/Q750,11051600,40408208524,Bolivia,http://www.wikidata.org/entity/Q18,South America,-64.99122861,-17.05686961,"-64.991228611,-17.056869611",http://commons.wikimedia.org/wiki/Special:FilePath/LagunaChiarKhota2013.jpg
http://www.wikidata.org/entity/Q1045,11031386,7628000011,Somalia,http://www.wikidata.org/entity/Q15,Africa,47,6,"47,6",http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20views%20of%20Kismayo%2006%20%288071381265%29.jpg
http://www.wikidata.org/entity/Q790,10981229,20253551885,Haiti,http://www.wikidata.org/entity/Q49,North America,-72.8,19,"-72.8,19",http://commons.wikimedia.org/wiki/Special:FilePath/ISS020-E-43300%20-%20View%20of%20Haiti.jpg
http://www.wikidata.org/entity/Q213,10827529,250681000000,Czech Republic,http://www.wikidata.org/entity/Q46,Europe,15,50,"15,50",http://commons.wikimedia.org/wiki/Special:FilePath/JMK%20Montage%20I.jpg
http://www.wikidata.org/entity/Q41,10482487,214873879834,Greece,http://www.wikidata.org/entity/Q46,Europe,23,38.5,"23,38.5",http://commons.wikimedia.org/wiki/Special:FilePath/The%20Acropolis%20and%20Mount%20Hymettus%20from%20Philopappos%20Hill%20on%20July%2018%2C%202019.jpg
http://www.wikidata.org/entity/Q810,10428241,45116317042,Jordan,http://www.wikidata.org/entity/Q48,Asia,36.5,31.2,"36.5,31.2",http://commons.wikimedia.org/wiki/Special:FilePath/Ad%20Deir%20%28The%20Monastery%29%2C%20El%20Deir%2C%20Petra%2C%20Jordan.jpg
http://www.wikidata.org/entity/Q783,10062994,28488721296,Honduras,http://www.wikidata.org/entity/Q49,North America,-86.816667,14.633333,"-86.816667,14.633333",http://commons.wikimedia.org/wiki/Special:FilePath/Copan%20sculpture.jpg
http://www.wikidata.org/entity/Q801,9797120,520700000000,Israel,http://www.wikidata.org/entity/Q48,Asia,35,31,"35,31",http://commons.wikimedia.org/wiki/Special:FilePath/Israel%20Batch%201%20%28115%29.JPG
http://www.wikidata.org/entity/Q184,9200617,69673747132,Belarus,http://www.wikidata.org/entity/Q46,Europe,28.04666667,53.52833333,"28.046666666,53.528333333",http://commons.wikimedia.org/wiki/Special:FilePath/Satellite%20image%20of%20Belarus%20in%20December%202002.jpg
http://www.wikidata.org/entity/Q691,8935000,26311656000,Papua New Guinea,http://www.wikidata.org/entity/Q538,Insular Oceania,147,-6.3,"147,-6.3",http://commons.wikimedia.org/wiki/Special:FilePath/Papua%20New%20Guinea%20map.png
http://www.wikidata.org/entity/Q945,7797694,8126439481,Togo,http://www.wikidata.org/entity/Q15,Africa,1.183333,8.25,"1.183333,8.25",http://commons.wikimedia.org/wiki/Special:FilePath/Kpalime.jpg
http://www.wikidata.org/entity/Q1044,7557212,3970343852,Sierra Leone,http://www.wikidata.org/entity/Q15,Africa,-12.1,8.5,"-12.1,8.5",http://commons.wikimedia.org/wiki/Special:FilePath/Kenema-Kailahun%20Road.jpg
http://www.wikidata.org/entity/Q403,7022268,63082021206,Serbia,http://www.wikidata.org/entity/Q46,Europe,20.93333333,43.95,"20.933333333,43.95",http://commons.wikimedia.org/wiki/Special:FilePath/2006%2C%20view%20from%20train%20from%20Belgrade%20to%20Zagreb%2015.jpg
http://www.wikidata.org/entity/Q819,6858160,15724383783,Laos,http://www.wikidata.org/entity/Q48,Asia,104.1,18.2,"104.1,18.2",http://commons.wikimedia.org/wiki/Special:FilePath/Karst%20peaks%20and%20green%20paddy%20fields%20under%20a%20stormy%20sky%2C%20South%20view%20from%20Mount%20Nam%20Xay%2C%20Vang%20Vieng%2C%20Laos.jpg
http://www.wikidata.org/entity/Q813,6694200,8740681889,Kyrgyzstan,http://www.wikidata.org/entity/Q48,Asia,75,41,"75,41",http://commons.wikimedia.org/wiki/Special:FilePath/Kyrgyzstan%20%28orthographic%20projection%29.svg
